POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,AMOUNT_LC,DUMMY_ISU,ZEUGN
1,,,,,,,,,,,,,,,E1,19-040-1,,,,NPALLET-E1,X,350103471816156564,350103471816156564,350103471816156564,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8064,NE00,BP,40620017A1,1,,,,,NE00,BP,,20,CS,,19-040-1,20240730,,20260331,,,350103471816156564,350103471816156564,350103471816156564,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-042-1,,,,NPALLET-E1,X,350103471816772245,350103471816772245,350103471816772245,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8506,NE00,BP,2325700002,1,,,,,NE00,BP,,47,CS,,19-042-1,20241001,,20250930,,,350103471816772245,350103471816772245,350103471816772245,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-044-1,,,,NPALLET-E1,X,350103471816506369,350103471816506369,350103471816506369,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8539,NE00,BP,4209428220,1,,,,,NE00,BP,,7,CS,,19-044-1,20240909,,20250722,,,350103471816506369,350103471816506369,350103471816506369,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-045-1,,,,NPALLET-E1,X,350103471816883958,350103471816883958,350103471816883958,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8142,NE00,BP,4158428220,1,,,,,NE00,BP,,6,CS,,19-045-1,20241008,,20250601,,,350103471816883958,350103471816883958,350103471816883958,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-046-1,,,,NPALLET-E1,X,350103471816603020,350103471816603020,350103471816603020,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8504,NE00,BP,2410700002,1,,,,,NE00,BP,,8,CS,,19-046-1,20240918,,20260430,,,350103471816603020,350103471816603020,350103471816603020,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
